Road Name,Classification,Year Constructed,ROW,Total Length Km,Concrete_L,Concrete_%,Concrete_C,Asphalt_L,Asphalt_%,Asphalt_C,Gravel_L,Gravel_%,Gravel_C,Earth_L,Earth_%,Earth_C
1. Agboy Norte-Siol Norte Rd,Barangay Rd,2013,6.00,1.47,0.03,2,Fair,,,,,,,1.44,98,Poor
2. Agta Road,Barangay Rd,1983,6.00,0.85,0.41,48,Fair,,,,0.45,52,Fair,,,
3. Anonang-Sitio Bangalad,Barangay Rd,2013,6.00,0.62,0.05,8,Fair,,,,0.41,66,Fair,0.16,26,Poor
4. Apian Road,Barangay Rd,1984,6.00,0.96,0.77,80,Fair,,,,0.19,20,Fair,,,
5. Apian-Coyugan Norte Rd,Barangay Rd,1998,6.00,0.78,0.08,10,Fair,,,,0.70,90,Fair,,,
6. Avanzada-Baje Road,Barangay Rd,1983,6.00,9.36,6.76,72,Fair,,,,2.60,28,Poor,,,
7. Awis Road,Barangay Rd,1997,6.00,0.18,0.01,8,Fair,,,,0.17,92,Fair,,,
8. Ayabang Road,Barangay Rd,2000,6.00,0.74,,,,,,,0.74,100,Poor,,,
9. Ayubo Road,Barangay Rd,2022,6.00,0.13,0.13,100,Fair,,,,,,,,,
10. Bacolod Road,Barangay Rd,1999,6.00,1.05,1.05,100,Fair,,,,,,,,,
11. Bacolod-Cabunga-an Rd.,Barangay Rd,2022,6.00,1.26,1.26,100,Fair,,,,,,,,,
12. Banagan Road,Barangay Rd,1999,6.00,1.27,0.98,78,Fair,,,,0.28,22,Poor,,,
13. Barangbang Road,Barangay Rd,1983,6.00,1.55,0.88,57,Fair,,,,,,,0.66,43,Poor
14. Barasan Road,Barangay Rd,1983,6.00,0.55,0.55,100,Fair,,,,,,,,,
15. Bayag Norte-Sitio Danao Rd,Barangay Rd,2015,6.00,0.36,,,,,,,,,,0.36,100,Poor
16. Bayag Norte-Sitio Raug Rd,Barangay Rd,2015,6.00,0.53,,,,,,,,,,0.53,100,Poor
17. Binolbog Road,Barangay Rd,2000,6.00,0.69,0.21,31,Poor,,,,0.48,69,Poor,,,
18. Binolbog Road (new),Barangay Rd,2020,6.00,0.48,,,,,,,0.48,100,Fair,,,
19. Binolbog-Ambulong Road,Barangay Rd,2015,6.00,2.28,,,,,,,,,,2.28,100,Poor
20. Biri Norte-Isian Norte Road,Barangay Rd,2000,6.00,2.65,0.58,22,Fair,,,,2.07,78,Poor,,,
21. Biri Norte-Tina-an Sur Road,Barangay Rd,2000,6.00,2.73,,,,,,,2.73,100,Poor,,,
22. Biri Sur Road,Barangay Rd,2010,6.00,0.78,0.45,58,Fair,,,,,,,0.33,42,Poor
23. Biri Sur-Sitio Dulaca Road,Barangay Rd,2019,6.00,1.21,,,,,,,,,,1.21,100,Poor
24. Bucari Road,Barangay Rd,1983,6.00,0.99,0.99,100,Fair,,,,,,,,,
25. Bucari Road,Barangay Rd,1983,6.00,0.09,0.09,100,Poor,,,,,,,,,
26. Bucari-Cagay-Ingay Road,Barangay Rd,2000,10.00,4.54,1.10,24,Poor,,,,1.91,42,Fair,1.53,34,Poor
27. Bucari-Camandag Road,Barangay Rd,1998,10.00,3.02,3.02,100,Fair,,,,,,,,,
28. Bucari-Cumpan-Sibucao,Barangay Rd,2000,6.00,2.11,,,,,,,,,,2.11,100,Critical
29. Bucari-Tabionan Road,Barangay Rd,2000,6.00,0.44,,,,,,,0.44,100,Fair,,,
30. Buga Road,Barangay Rd,1960,10.00,1.50,1.50,100,Fair,,,,,,,,,
31. Buga-Sitio Dao-Baong Rd.,Barangay Rd,2014,6.00,2.46,,,,,,,0.39,16,Fair,2.08,84,Fair
32. Buga-Kananghan-Iguaras,Barangay Rd,2009,4.00,3.82,0.14,4,Fair,,,,3.24,85,Poor,0.44,11,Poor
33. Buga-Jct-Kananghan Rd,Barangay Road,2009,4.00,0.29,,,,,,,0.29,100,Poor,,,
34. Buga-Jct-Lampigaw-      Pinon-an Road,Barangay Road,2010,4.00,2.97,,,,,,,0.91,31,Poor,2.06,69,Poor
35. Buga-Sitio Bugtong Road,Barangay Road,2005,4.00,0.13,0.13,100,Fair,,,,,,,,,
36. Buga-Sitio Tibod-Lanag Rd,Barangay Road,2009,6.00,1.90,,,,,,,,,,1.90,100,Poor
37. Bulad Road,Barangay Road,1997,6.00,0.87,0.80,92,Fair,,,,0.07,8,Fair,,,
38. Cabunga-an-Caboloan Rd,Barangay Road,2001,10.00,1.87,1.87,100,Fair,,,,,,,,,
39. Cabutongan Road,Barangay Road,1984,6.00,0.71,0.71,100,Fair,,,,,,,,,
40. Cagay Road,Barangay Road,2000,6.00,0.30,,,,,,,,,,0.30,100,Poor
41. Camandag-Bobon Road,Barangay Road,1999,10.00,1.75,1.75,100,Fair,,,,,,,,,
42.  Camandag-Bulwang Rd,Barangay Road,1998,6.00,0.80,0.80,100,Fair,,,,,,,,,
43. Cananaman Road,Barangay Road,1984,6.00,2.05,2.05,100,Fair,,,,,,,,,
44. Capt. Fernando-Paoy Rd,Barangay Road,1997,6.00,0.75,,,,,,,0.75,100,Fair,,,
45. Capt. Fernando-Sitio,Barangay Road,2022,6.00,0.68,,,,,,,,,,0.68,100,Poor
Limotan Road,Barangay Road,2022,6.00,0.68,,,,,,,,,,0.68,100,Poor
46. Capt. Fernando-Lang-og Rd.,Barangay Road,2022,6.00,0.51,,,,,,,,,,0.51,100,Poor
47. Carara-an-Sitio Talibong Rd,Barangay Road,2022,6.00,1.94,1.94,100,Fair,,,,,,,,,
48. Carolina Road,Barangay Road,1998,6.00,0.80,0.80,100,Fair,,,,,,,,,
49.. Carolina Rd. Jct Langog Rd,Barangay Road,1992,6.00,0.83,0.43,51,Fair,,,,,,,0.40,49,Poor
50. Coyugan Norte Road,Barangay Road,1998,6.00,0.53,0.23,43,Fair,,,,0.30,57,Poor,,,
51. Coyugan Sur Road,Barangay Road,1983,6.00,0.76,0.76,100,Fair,,,,,,,,,
52. Coyugan Sur Road New,Barangay Road,2022,6.00,0.39,0.39,100,Fair,,,,,,,,,
53. Danao Road,Barangay Road,2022,6.00,1.50,,,,,,,,,,1.50,100,Poor
54. Dorog Road,Barangay Road,1983,6.00,0.63,0.63,100,Fair,,,,,,,,,
55. Dorog-Marirong Road,Barangay Road,2017,6.00,3.02,2.94,97,Fair,,,,,,,0.08,3,Poor
56. Dorog-Carara-an Road,Barangay Road,1998,6.00,1.92,1.22,64,Fair,,,,0.70,36,Fair,,,
57. Dorog-Cawilihan Road,Barangay Road,2009,6.00,2.62,0.13,5,Fair,,,,2.49,95,Fair,,,
58. Dusacan Road (new),Barangay Road,2022,6.00,0.27,,,,,,,0.27,100,Poor,,,
59. Gines Brgy. Proper New Rd,Barangay Road,2021,6.00,0.39,0.39,100,Fair,,,,,,,,,
60. Gines-Ayabang Road,Barangay Road,2001,6.00,0.75,0.64,84,Fair,,,,,,,0.12,16,Poor
61. Gines-Ticuan Road,Barangay Road,2001,6.00,0.91,0.91,100,Fair,,,,,,,,,
62. Gines-Tunguan Road,Barangay Road,2001,6.00,2.10,1.34,64,Fair,,,,0.76,36,Fair,,,
63. Gines-Sitio Mayang,Barangay Road,2022,10.00,0.49,0.49,100,Fair,,,,,,,,,
64. Gumboc-Awis-Paoy-        Camando Road,Barangay Road,1984,6.00,5.11,1.10,22,Fair,,,,4.01,78,Fair,,,
